age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,date
35,blue-collar,married,,no,4822,yes,no,,20,5,843,2,-1,0,,yes,2014-05-20 00:00:00
41,blue-collar,married,primary,no,1250,yes,no,,20,5,1392,2,-1,0,,yes,2014-05-20 00:00:00
31,blue-collar,single,primary,no,216,yes,no,,21,5,565,1,-1,0,,yes,2014-05-21 00:00:00
34,blue-collar,married,secondary,no,1207,yes,no,,21,5,905,1,-1,0,,yes,2014-05-21 00:00:00
32,technician,married,secondary,no,791,yes,no,,21,5,783,2,-1,0,,yes,2014-05-21 00:00:00
36,management,married,tertiary,no,849,yes,yes,,21,5,958,2,-1,0,,yes,2014-05-21 00:00:00
30,blue-collar,single,secondary,yes,239,yes,no,,21,5,412,1,-1,0,,yes,2014-05-21 00:00:00
37,technician,single,secondary,no,1211,yes,no,,21,5,795,1,-1,0,,yes,2014-05-21 00:00:00
36,blue-collar,married,primary,no,599,yes,no,,21,5,649,2,-1,0,,yes,2014-05-21 00:00:00
31,management,single,tertiary,no,825,yes,no,,21,5,506,2,-1,0,,yes,2014-05-21 00:00:00
27,technician,married,secondary,no,2183,yes,yes,,21,5,857,1,-1,0,,yes,2014-05-21 00:00:00
34,retired,married,primary,no,4499,no,no,,21,5,1681,1,-1,0,,yes,2014-05-21 00:00:00
30,technician,single,tertiary,no,1289,yes,no,,21,5,1697,2,-1,0,,yes,2014-05-21 00:00:00
32,technician,single,tertiary,no,4665,yes,no,,21,5,860,2,-1,0,,yes,2014-05-21 00:00:00
37,technician,single,secondary,no,3326,yes,no,,21,5,799,1,-1,0,,yes,2014-05-21 00:00:00
32,blue-collar,married,secondary,no,783,yes,no,,21,5,923,3,-1,0,,yes,2014-05-21 00:00:00
33,blue-collar,married,secondary,no,0,yes,no,,21,5,521,3,-1,0,,yes,2014-05-21 00:00:00
35,blue-collar,married,primary,no,994,yes,no,,23,5,1349,8,-1,0,,yes,2014-05-23 00:00:00
35,self-employed,divorced,tertiary,no,1354,yes,no,,23,5,736,2,-1,0,,yes,2014-05-23 00:00:00
30,blue-collar,single,secondary,no,239,yes,no,,23,5,785,1,-1,0,,yes,2014-05-23 00:00:00
45,blue-collar,divorced,primary,no,-311,yes,no,,23,5,1030,1,-1,0,,yes,2014-05-23 00:00:00
45,admin,married,secondary,no,149,yes,no,,23,5,893,3,-1,0,,yes,2014-05-23 00:00:00
33,blue-collar,married,secondary,no,1464,yes,no,,23,5,588,3,-1,0,,yes,2014-05-23 00:00:00
44,management,divorced,tertiary,no,5773,no,no,,23,5,597,6,-1,0,,yes,2014-05-23 00:00:00
40,blue-collar,married,primary,no,278,yes,no,,23,5,1015,3,-1,0,,yes,2014-05-23 00:00:00
31,blue-collar,married,secondary,no,2910,yes,no,,23,5,1392,2,-1,0,,yes,2014-05-23 00:00:00
30,technician,married,tertiary,no,541,yes,no,,26,5,414,2,-1,0,,yes,2014-05-26 00:00:00
44,technician,divorced,secondary,no,1262,yes,no,,26,5,788,11,-1,0,,yes,2014-05-26 00:00:00
34,services,married,secondary,no,-538,yes,no,,26,5,682,1,-1,0,,yes,2014-05-26 00:00:00
37,blue-collar,married,secondary,no,125,no,no,,26,5,679,2,-1,0,,yes,2014-05-26 00:00:00
28,self-employed,single,tertiary,no,0,yes,no,,26,5,1560,2,-1,0,,yes,2014-05-26 00:00:00
32,admin,single,secondary,no,620,yes,no,,26,5,1234,3,-1,0,,yes,2014-05-26 00:00:00
37,blue-collar,divorced,secondary,no,316,yes,no,,26,5,642,2,-1,0,,yes,2014-05-26 00:00:00
34,management,married,tertiary,no,2287,yes,no,,26,5,895,4,-1,0,,yes,2014-05-26 00:00:00
38,admin,divorced,secondary,no,198,yes,no,,26,5,431,2,-1,0,,yes,2014-05-26 00:00:00
28,admin,single,secondary,no,460,yes,no,,26,5,741,6,-1,0,,yes,2014-05-26 00:00:00
31,management,divorced,tertiary,no,1145,yes,no,,26,5,1272,4,-1,0,,yes,2014-05-26 00:00:00
59,services,married,secondary,no,-22,yes,no,,26,5,748,3,-1,0,,yes,2014-05-26 00:00:00
24,blue-collar,married,secondary,no,685,yes,no,,26,5,896,3,-1,0,,yes,2014-05-26 00:00:00
26,services,single,secondary,no,901,yes,no,,26,5,764,2,-1,0,,yes,2014-05-26 00:00:00
59,retired,single,secondary,no,351,yes,no,,27,5,1063,5,-1,0,,yes,2014-05-27 00:00:00
30,entrepreneur,single,primary,no,0,yes,yes,,27,5,1051,1,-1,0,,yes,2014-05-27 00:00:00
37,admin,married,secondary,no,274,yes,no,,27,5,731,3,-1,0,,yes,2014-05-27 00:00:00
30,admin,single,secondary,no,-213,yes,yes,,27,5,751,1,-1,0,,yes,2014-05-27 00:00:00
25,blue-collar,married,secondary,no,97,yes,no,,27,5,709,1,-1,0,,yes,2014-05-27 00:00:00
44,services,divorced,secondary,no,51,yes,yes,,27,5,3094,2,-1,0,,yes,2014-05-27 00:00:00
29,management,married,tertiary,no,314,no,no,,28,5,938,2,-1,0,,yes,2014-05-28 00:00:00
26,management,single,tertiary,no,6840,yes,no,,28,5,1560,2,-1,0,,yes,2014-05-28 00:00:00
26,technician,single,secondary,no,668,yes,no,,28,5,576,3,-1,0,,yes,2014-05-28 00:00:00
27,services,single,secondary,no,54,yes,no,,28,5,543,2,-1,0,,yes,2014-05-28 00:00:00
25,self-employed,single,secondary,no,1242,yes,no,,28,5,615,2,-1,0,,yes,2014-05-28 00:00:00
28,management,married,secondary,no,292,yes,no,,28,5,507,1,-1,0,,yes,2014-05-28 00:00:00
23,services,single,secondary,no,665,yes,no,,28,5,1183,1,-1,0,,yes,2014-05-28 00:00:00
34,management,single,tertiary,no,1058,yes,no,,28,5,864,2,-1,0,,yes,2014-05-28 00:00:00
28,student,single,secondary,no,949,yes,no,,28,5,1730,1,-1,0,,yes,2014-05-28 00:00:00
51,entrepreneur,married,,no,606,yes,no,,28,5,560,9,-1,0,,yes,2014-05-28 00:00:00
35,blue-collar,married,secondary,no,0,yes,yes,,29,5,543,1,-1,0,,yes,2014-05-29 00:00:00
35,admin,married,secondary,no,404,yes,no,,29,5,539,1,-1,0,,yes,2014-05-29 00:00:00
56,blue-collar,married,secondary,no,249,yes,no,,29,5,791,2,-1,0,,yes,2014-05-29 00:00:00
45,unemployed,divorced,secondary,no,3354,yes,no,,29,5,746,1,-1,0,,yes,2014-05-29 00:00:00
60,blue-collar,divorced,secondary,no,0,yes,no,,29,5,1207,1,-1,0,,yes,2014-05-29 00:00:00
56,technician,married,secondary,no,589,yes,no,,29,5,535,2,-1,0,,yes,2014-05-29 00:00:00
27,management,single,tertiary,no,12956,yes,no,,29,5,789,3,-1,0,,yes,2014-05-29 00:00:00
30,admin,married,secondary,no,873,yes,no,,29,5,792,3,-1,0,,yes,2014-05-29 00:00:00
45,blue-collar,divorced,primary,no,594,yes,no,,29,5,833,2,-1,0,,yes,2014-05-29 00:00:00
29,blue-collar,single,secondary,no,-20,yes,no,,29,5,814,2,-1,0,,yes,2014-05-29 00:00:00
38,management,divorced,tertiary,no,4692,yes,no,,29,5,1363,2,-1,0,,yes,2014-05-29 00:00:00
30,blue-collar,married,secondary,no,486,yes,no,,29,5,1109,3,-1,0,,yes,2014-05-29 00:00:00
44,blue-collar,single,primary,no,1593,yes,no,,29,5,828,3,-1,0,,yes,2014-05-29 00:00:00
36,management,single,tertiary,no,7606,yes,no,,30,5,917,1,-1,0,,yes,2014-05-30 00:00:00
38,technician,married,secondary,no,226,yes,no,,30,5,762,3,-1,0,,yes,2014-05-30 00:00:00
36,blue-collar,single,secondary,no,366,yes,yes,,30,5,1133,2,-1,0,,yes,2014-05-30 00:00:00
37,management,divorced,secondary,no,16,yes,no,,30,5,638,1,-1,0,,yes,2014-05-30 00:00:00
35,management,single,tertiary,no,565,yes,no,,30,5,763,1,-1,0,,yes,2014-05-30 00:00:00
38,admin,divorced,secondary,no,19,yes,no,,30,5,604,2,-1,0,,yes,2014-05-30 00:00:00
40,services,married,primary,no,1082,yes,no,,30,5,854,2,-1,0,,yes,2014-05-30 00:00:00
42,unemployed,divorced,secondary,no,1713,yes,no,,30,5,855,2,-1,0,,yes,2014-05-30 00:00:00
46,management,divorced,tertiary,no,14481,yes,no,,30,5,1269,1,-1,0,,yes,2014-05-30 00:00:00
35,technician,divorced,secondary,no,5724,yes,no,,30,5,691,10,-1,0,,yes,2014-05-30 00:00:00
34,technician,divorced,secondary,no,1451,yes,no,,30,5,1097,15,-1,0,,yes,2014-05-30 00:00:00
32,services,married,secondary,no,-34,yes,no,,30,5,1236,2,-1,0,,yes,2014-05-30 00:00:00
50,unemployed,married,secondary,no,3674,yes,no,,30,5,886,3,-1,0,,yes,2014-05-30 00:00:00
35,blue-collar,married,secondary,no,698,yes,yes,,30,5,1343,3,-1,0,,yes,2014-05-30 00:00:00
36,technician,single,secondary,no,4136,yes,no,,30,5,812,3,-1,0,,yes,2014-05-30 00:00:00
53,blue-collar,divorced,primary,no,2656,yes,no,,30,5,1980,2,-1,0,,yes,2014-05-30 00:00:00
46,management,single,tertiary,no,2904,yes,no,,30,5,984,2,-1,0,,yes,2014-05-30 00:00:00
26,management,single,tertiary,no,1004,yes,no,,30,5,228,2,-1,0,,yes,2014-05-30 00:00:00
45,technician,single,secondary,no,410,yes,no,,30,5,891,4,-1,0,,yes,2014-05-30 00:00:00
31,unemployed,divorced,primary,no,0,yes,no,,30,5,745,12,-1,0,,yes,2014-05-30 00:00:00
29,management,single,tertiary,no,0,yes,no,,30,5,539,12,-1,0,,yes,2014-05-30 00:00:00
53,entrepreneur,single,secondary,no,62,yes,no,,30,5,1044,5,-1,0,,yes,2014-05-30 00:00:00
27,blue-collar,married,primary,no,416,yes,no,,30,5,1193,2,-1,0,,yes,2014-05-30 00:00:00
39,management,married,tertiary,no,2763,yes,no,,2,6,526,2,-1,0,,yes,2014-06-02 00:00:00
36,services,married,secondary,no,2984,yes,no,,2,6,394,1,-1,0,,yes,2014-06-02 00:00:00
41,blue-collar,married,primary,no,143,yes,yes,,2,6,659,2,-1,0,,yes,2014-06-02 00:00:00
36,services,married,primary,no,0,yes,no,,2,6,1036,1,-1,0,,yes,2014-06-02 00:00:00
32,technician,married,secondary,no,696,yes,no,,2,6,815,1,-1,0,,yes,2014-06-02 00:00:00
35,services,married,secondary,no,152,yes,no,,2,6,563,1,-1,0,,yes,2014-06-02 00:00:00
36,management,single,tertiary,no,-78,yes,no,,2,6,1068,1,-1,0,,yes,2014-06-02 00:00:00
35,management,married,tertiary,no,867,yes,no,,2,6,230,3,-1,0,,yes,2014-06-02 00:00:00
30,blue-collar,single,secondary,no,953,yes,no,,2,6,747,2,-1,0,,yes,2014-06-02 00:00:00
42,blue-collar,married,secondary,no,443,yes,no,,2,6,671,5,-1,0,,yes,2014-06-02 00:00:00
42,technician,single,secondary,yes,-1129,yes,no,,2,6,555,5,-1,0,,yes,2014-06-02 00:00:00
32,blue-collar,married,primary,no,415,yes,no,,2,6,777,4,-1,0,,yes,2014-06-02 00:00:00
29,blue-collar,single,secondary,no,260,yes,no,,2,6,707,14,-1,0,,yes,2014-06-02 00:00:00
44,management,divorced,tertiary,yes,-411,yes,no,,2,6,432,4,-1,0,,yes,2014-06-02 00:00:00
32,technician,single,secondary,no,1279,yes,no,,3,6,1173,3,-1,0,,yes,2014-06-03 00:00:00
31,unemployed,married,secondary,no,86,yes,yes,,3,6,963,2,-1,0,,yes,2014-06-03 00:00:00
40,self-employed,married,secondary,yes,-754,yes,yes,,3,6,941,3,-1,0,,yes,2014-06-03 00:00:00
43,entrepreneur,married,secondary,no,0,no,no,,3,6,1025,7,-1,0,,yes,2014-06-03 00:00:00
27,management,single,secondary,no,178,yes,no,,3,6,732,2,-1,0,,yes,2014-06-03 00:00:00
37,services,single,secondary,no,278,yes,no,,3,6,1045,3,-1,0,,yes,2014-06-03 00:00:00
23,services,single,secondary,no,425,yes,no,,3,6,768,1,-1,0,,yes,2014-06-03 00:00:00
25,management,married,primary,no,168,yes,no,,3,6,801,1,-1,0,,yes,2014-06-03 00:00:00
26,blue-collar,single,secondary,yes,-36,yes,no,,3,6,482,2,-1,0,,yes,2014-06-03 00:00:00
47,blue-collar,divorced,primary,no,126,yes,no,,3,6,2456,2,-1,0,,yes,2014-06-03 00:00:00
35,admin,married,secondary,no,-87,yes,no,,3,6,1363,7,-1,0,,yes,2014-06-03 00:00:00
32,technician,single,tertiary,no,6281,yes,no,,3,6,1336,4,-1,0,,yes,2014-06-03 00:00:00
45,management,divorced,secondary,no,644,yes,no,,4,6,633,1,-1,0,,yes,2014-06-04 00:00:00
30,admin,divorced,secondary,no,377,yes,no,,4,6,524,15,-1,0,,yes,2014-06-04 00:00:00
29,services,single,secondary,no,-271,yes,no,,4,6,578,1,-1,0,,yes,2014-06-04 00:00:00
38,blue-collar,married,primary,no,5839,yes,no,,4,6,984,2,-1,0,,yes,2014-06-04 00:00:00
23,blue-collar,single,secondary,no,492,yes,no,,4,6,638,1,-1,0,,yes,2014-06-04 00:00:00
27,management,single,tertiary,no,99,yes,no,,4,6,767,2,-1,0,,yes,2014-06-04 00:00:00
27,management,single,tertiary,yes,-713,yes,no,,4,6,525,2,-1,0,,yes,2014-06-04 00:00:00
29,services,single,secondary,no,32,yes,no,,4,6,563,1,-1,0,,yes,2014-06-04 00:00:00
30,self-employed,married,tertiary,no,543,yes,yes,,4,6,1449,6,-1,0,,yes,2014-06-04 00:00:00
36,blue-collar,married,primary,no,403,yes,no,,4,6,920,1,-1,0,,yes,2014-06-04 00:00:00
35,admin,divorced,secondary,no,437,yes,no,,4,6,908,1,-1,0,,yes,2014-06-04 00:00:00
36,blue-collar,married,secondary,no,1772,no,no,,5,6,208,1,-1,0,,yes,2014-06-05 00:00:00
59,retired,divorced,primary,no,-88,yes,no,,5,6,910,2,-1,0,,yes,2014-06-05 00:00:00
47,entrepreneur,married,secondary,no,0,no,no,,5,6,1446,1,-1,0,,yes,2014-06-05 00:00:00
58,entrepreneur,married,tertiary,no,853,no,no,,5,6,1149,2,-1,0,,yes,2014-06-05 00:00:00
37,management,single,tertiary,no,240,no,no,,5,6,1123,1,-1,0,,yes,2014-06-05 00:00:00
46,admin,single,secondary,no,849,yes,no,,5,6,508,2,-1,0,,yes,2014-06-05 00:00:00
43,blue-collar,single,secondary,no,318,yes,no,,5,6,736,2,-1,0,,yes,2014-06-05 00:00:00
27,management,single,tertiary,no,703,yes,no,,5,6,590,3,-1,0,,yes,2014-06-05 00:00:00
38,services,divorced,secondary,no,61,no,no,,5,6,636,1,-1,0,,yes,2014-06-05 00:00:00
53,housemaid,married,primary,no,104,no,yes,,5,6,701,1,-1,0,,yes,2014-06-05 00:00:00
47,blue-collar,married,secondary,no,1996,no,no,,5,6,761,2,-1,0,,yes,2014-06-05 00:00:00
56,housemaid,divorced,primary,yes,1238,no,no,,5,6,1558,1,-1,0,,yes,2014-06-05 00:00:00
41,housemaid,married,secondary,no,879,no,no,,5,6,1053,2,-1,0,,yes,2014-06-05 00:00:00
29,self-employed,married,secondary,no,425,yes,no,,5,6,562,15,-1,0,,yes,2014-06-05 00:00:00
50,technician,married,secondary,no,416,yes,no,,5,6,494,5,-1,0,,yes,2014-06-05 00:00:00
45,blue-collar,divorced,primary,no,844,no,no,,5,6,1018,3,-1,0,,yes,2014-06-05 00:00:00
35,blue-collar,married,secondary,no,860,yes,no,,5,6,884,4,-1,0,,yes,2014-06-05 00:00:00
26,technician,single,secondary,no,639,yes,no,,6,6,709,5,-1,0,,yes,2014-06-06 00:00:00
26,admin,married,secondary,no,710,yes,yes,,6,6,1276,2,-1,0,,yes,2014-06-06 00:00:00
37,blue-collar,married,,no,1508,no,yes,,6,6,381,2,-1,0,,yes,2014-06-06 00:00:00
30,admin,single,secondary,no,223,yes,no,,6,6,862,11,-1,0,,yes,2014-06-06 00:00:00
38,management,single,tertiary,no,619,yes,no,,6,6,460,4,-1,0,,yes,2014-06-06 00:00:00
37,services,divorced,secondary,no,319,yes,no,,6,6,467,3,-1,0,,yes,2014-06-06 00:00:00
53,technician,married,secondary,no,480,no,no,,6,6,648,2,-1,0,,yes,2014-06-06 00:00:00
